time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
6.910,-1.8656777090304926,3.0682119917851978,AIUVL,-50,10:7C:61:DA:BF:A6
6.918,-1.8656777090304926,3.0682119917851978,jerryma,-57,F2:1A:15:DC:E4:ED
6.925,-1.8656777090304926,3.0682119917851978,LAB334,-58,10:27:F5:E0:85:37
6.930,-1.8656777090304926,3.0682119917851978,D-Link_DIR-612,-59,48:EE:0C:A9:21:B0
6.935,-1.8656777090304926,3.0682119917851978,BMELabIII,-59,14:DA:E9:80:B0:34
6.941,-1.8656777090304926,3.0682119917851978,DIRECT-34-HP M283 LaserJet,-61,AA:3B:76:CB:18:34
6.946,-1.8656777090304926,3.0682119917851978,JacksoniPhone,-63,3E:CB:EC:CC:07:24
6.951,-1.8656777090304926,3.0682119917851978,Andy,-67,06:90:08:27:28:40
6.955,-1.8656777090304926,3.0682119917851978,BMELab,-68,AC:9E:17:79:CE:50
6.960,-1.8656777090304926,3.0682119917851978,DIRECT-79-HP M227f LaserJet,-69,4E:EB:BD:6F:EC:79
6.965,-1.8656777090304926,3.0682119917851978,NYCU-Guest,-70,F4:2E:7F:D3:10:83
6.970,-1.8656777090304926,3.0682119917851978,NYCU-Seminar,-70,F4:2E:7F:D3:10:84
6.975,-1.8656777090304926,3.0682119917851978,NYCU,-70,F4:2E:7F:D3:10:82
6.980,-1.8656777090304926,3.0682119917851978,DIRECT-3E-HP Color LJ 4303,-77,BE:0F:F3:F6:CA:3E
6.985,-1.8656777090304926,3.0682119917851978,NYCU-Guest,-78,F4:2E:7F:D2:93:A3
6.991,-1.8656777090304926,3.0682119917851978,NYCU-Seminar,-80,F4:2E:7F:D2:93:A4
6.997,-1.8656777090304926,3.0682119917851978,jerryma,-52,F2:1A:15:DC:E4:ED
7.002,-1.8656777090304926,3.0682119917851978,AIUVL,-57,10:7C:61:DA:BF:A6
7.008,-1.8656777090304926,3.0682119917851978,ASUS_A8_2G,-58,F0:2F:74:E2:C4:A8
7.013,-1.8656777090304926,3.0682119917851978,Andy,-59,06:90:08:27:28:40
7.017,-1.8656777090304926,3.0682119917851978,BMELabIII,-59,14:DA:E9:80:B0:34
7.022,-1.8656777090304926,3.0682119917851978,DIRECT-34-HP M283 LaserJet,-61,AA:3B:76:CB:18:34
7.027,-1.8656777090304926,3.0682119917851978,D-Link_DIR-612,-63,48:EE:0C:A9:21:B0
