path_id,x,y,z,r,g,b
2,-2.57,1.18,0.0,0.0,1.0,0.0
2,-2.52,1.21,0.0,0.0,1.0,0.0
2,-2.47,1.2,0.0,0.0,1.0,0.0
2,-2.48,1.22,0.0,0.0,1.0,0.0
2,-2.72,1.13,0.0,0.0,1.0,0.0
2,-3.21,0.93,0.0,0.0,1.0,0.0
2,-3.45,0.81,0.0,0.0,1.0,0.0
2,-3.68,0.7,0.0,0.0,1.0,0.0
2,-3.94,0.49,0.0,0.0,1.0,0.0
2,-4.02,-0.28,0.0,0.0,1.0,0.0
2,-3.97,-0.56,0.0,0.0,1.0,0.0
2,-3.93,-0.73,0.0,0.0,1.0,0.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.63,-1.0,0.0,0.0,0.0,1.0
3,-3.57,-1.0,0.0,0.0,0.0,1.0
3,-3.26,-0.67,0.0,0.0,0.0,1.0
3,-3.08,-0.52,0.0,0.0,0.0,1.0
3,-2.56,-0.33,0.0,0.0,0.0,1.0
3,-2.17,-0.45,0.0,0.0,0.0,1.0
3,-1.7,-0.71,0.0,0.0,0.0,1.0
3,-1.44,-0.57,0.0,0.0,0.0,1.0
3,-1.4,-0.13,0.0,0.0,0.0,1.0
3,-1.66,0.16,0.0,0.0,0.0,1.0
3,-1.86,0.36,0.0,0.0,0.0,1.0
4,-2.04,0.99,0.0,1.0,1.0,0.0
4,-2.04,0.99,0.0,1.0,1.0,0.0
4,-2.04,0.99,0.0,1.0,1.0,0.0
4,-2.04,0.99,0.0,1.0,1.0,0.0
4,-2.04,0.99,0.0,1.0,1.0,0.0
4,-2.04,0.99,0.0,1.0,1.0,0.0
4,-2.04,0.99,0.0,1.0,1.0,0.0
4,-1.99,1.28,0.0,1.0,1.0,0.0
4,-1.99,1.94,0.0,1.0,1.0,0.0
4,-2.08,2.09,0.0,1.0,1.0,0.0
4,-2.3,2.32,0.0,1.0,1.0,0.0
4,-2.51,2.44,0.0,1.0,1.0,0.0
4,-2.93,2.67,0.0,1.0,1.0,0.0
4,-3.19,2.91,0.0,1.0,1.0,0.0
4,-3.17,3.32,0.0,1.0,1.0,0.0
4,-3.05,3.53,0.0,1.0,1.0,0.0
4,-3.04,3.8,0.0,1.0,1.0,0.0
5,-3.0,4.06,0.0,1.0,0.0,1.0
5,-3.0,4.06,0.0,1.0,0.0,1.0
5,-3.3,4.71,0.0,1.0,0.0,1.0
5,-3.36,4.91,0.0,1.0,0.0,1.0
5,-3.08,5.3,0.0,1.0,0.0,1.0
5,-2.69,5.5,0.0,1.0,0.0,1.0
5,-2.47,5.87,0.0,1.0,0.0,1.0
5,-2.29,6.63,0.0,1.0,0.0,1.0
6,-3.45,7.87,0.0,0.0,1.0,1.0
6,-3.63,8.06,0.0,0.0,1.0,1.0
6,-3.82,8.23,0.0,0.0,1.0,1.0
6,-3.77,8.94,0.0,0.0,1.0,1.0
6,-3.39,9.1,0.0,0.0,1.0,1.0
6,-2.84,9.16,0.0,0.0,1.0,1.0
6,-2.53,9.28,0.0,0.0,1.0,1.0
6,-2.39,9.56,0.0,0.0,1.0,1.0
6,-2.45,9.83,0.0,0.0,1.0,1.0
6,-2.74,10.24,0.0,0.0,1.0,1.0
6,-3.39,10.52,0.0,0.0,1.0,1.0
6,-3.74,10.51,0.0,0.0,1.0,1.0
6,-4.02,10.28,0.0,0.0,1.0,1.0
7,-3.42,9.42,0.0,0.5,0.0,0.0
7,-3.14,9.43,0.0,0.5,0.0,0.0
7,-2.7,9.55,0.0,0.5,0.0,0.0
7,-2.7,9.98,0.0,0.5,0.0,0.0
7,-3.02,10.4,0.0,0.5,0.0,0.0
7,-3.24,10.57,0.0,0.5,0.0,0.0
7,-3.32,10.82,0.0,0.5,0.0,0.0
7,-3.22,11.07,0.0,0.5,0.0,0.0
7,-2.5,11.09,0.0,0.5,0.0,0.0
7,-2.53,10.71,0.0,0.5,0.0,0.0
8,-3.05,10.29,0.0,0.0,0.5,0.0
8,-3.34,10.06,0.0,0.0,0.5,0.0
8,-3.62,9.85,0.0,0.0,0.5,0.0
8,-3.89,9.65,0.0,0.0,0.5,0.0
8,-4.14,9.24,0.0,0.0,0.5,0.0
8,-4.1,8.9,0.0,0.0,0.5,0.0
8,-3.37,8.58,0.0,0.0,0.5,0.0
8,-2.82,8.76,0.0,0.0,0.5,0.0
