time,position,SSID,Mac_address,RSSI
2025-05-26 10:32:45,"x=-2.57, y=1.18, z=0.0","BMELabIII, jerryma, DIRECT-34-HP M283 LaserJet, ASUS_A8_2G, NYCU-Guest, eduroam, NYCU-Seminar, AIUVL, NYCU, LAB334, LAB337_EX(2.4G), DIRECT-79-HP M227f LaserJet, BMELab, D-Link_DIR-612, Lab542, DIRECT-3E-HP Color LJ 4303, DIRECT-524ABFA7, WYTN_RD-Meeting, WYTN_RD-LAB, NYCU-Guest, NYCU, NYCU-Seminar, PM2.5_Setup_E4","14:DA:E9:80:B0:34, F2:1A:15:DC:E4:ED, AA:3B:76:CB:18:34, F0:2F:74:E2:C4:A8, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:80, F4:2E:7F:D3:10:84, 10:7C:61:DA:BF:A6, F4:2E:7F:D3:10:82, 10:27:F5:E0:85:37, 34:97:F6:A6:80:40, 4E:EB:BD:6F:EC:79, AC:9E:17:79:CE:50, 48:EE:0C:A9:21:B0, A0:36:BC:0E:7A:B8, BE:0F:F3:F6:CA:3E, 3A:1A:52:4A:3F:A7, A8:5E:45:9A:73:80, A8:5E:45:9A:82:60, F4:2E:7F:D2:93:A3, F4:2E:7F:D2:93:A2, F4:2E:7F:D2:93:A4, 74:DA:38:C7:D3:E5","-50, -51, -55, -55, -59, -60, -60, -60, -61, -61, -65, -66, -68, -70, -76, -79, -80, -82, -83, -84, -85, -85, -85"
2025-05-26 10:32:49,"x=-2.52, y=1.21, z=0.0","BMELabIII, DIRECT-34-HP M283 LaserJet, jerryma, ASUS_A8_2G, AIUVL, NYCU-Guest, NYCU-Seminar, NYCU, LAB334, eduroam, DIRECT-79-HP M227f LaserJet, LAB337_EX(2.4G), BMELab, APL_ASUS, D-Link_DIR-612, DIRECT-524ABFA7, LAB335-1, WYTN_RD-LAB, NYCU, eduroam, NYCU-Seminar, NYCU-Guest","14:DA:E9:80:B0:34, AA:3B:76:CB:18:34, F2:1A:15:DC:E4:ED, F0:2F:74:E2:C4:A8, 10:7C:61:DA:BF:A6, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:84, F4:2E:7F:D3:10:82, 10:27:F5:E0:85:37, F4:2E:7F:D3:10:80, 4E:EB:BD:6F:EC:79, 34:97:F6:A6:80:40, AC:9E:17:79:CE:50, 10:C3:7B:C5:F8:00, 48:EE:0C:A9:21:B0, 3A:1A:52:4A:3F:A7, 40:86:CB:DF:DB:C8, A8:5E:45:9A:82:60, F4:2E:7F:D2:93:A2, F4:2E:7F:D2:93:A0, F4:2E:7F:D2:93:A4, F4:2E:7F:D2:93:A3","-52, -53, -54, -54, -58, -59, -59, -60, -60, -61, -66, -67, -71, -74, -75, -78, -80, -84, -85, -85, -86, -86"
2025-05-26 10:32:53,"x=-2.47, y=1.2, z=0.0","BMELabIII, jerryma, AIUVL, ASUS_A8_2G, LAB334, LAB337_EX(2.4G), BMELab, DIRECT-34-HP M283 LaserJet, DIRECT-79-HP M227f LaserJet, APL_ASUS, NYCU, NYCU-Guest, NYCU-Seminar, eduroam, D-Link_DIR-612, NYCU-Guest, LAB540, NYCU, NYCU-Seminar, eduroam, DIRECT-524ABFA7, Lab542, WYTN_RD-Meeting, LAB335-1, WYTN_RD-LAB, DIRECT-3E-HP Color LJ 4303, hank, arai, .1.Free Wi-Fi","14:DA:E9:80:B0:34, F2:1A:15:DC:E4:ED, 10:7C:61:DA:BF:A6, F0:2F:74:E2:C4:A8, 10:27:F5:E0:85:37, 34:97:F6:A6:80:40, AC:9E:17:79:CE:50, AA:3B:76:CB:18:34, 4E:EB:BD:6F:EC:79, 10:C3:7B:C5:F8:00, F4:2E:7F:D3:10:82, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:84, F4:2E:7F:D3:10:80, 48:EE:0C:A9:21:B0, F4:2E:7F:D2:93:A3, 10:7C:61:E6:63:74, F4:2E:7F:D2:93:A2, F4:2E:7F:D2:93:A4, F4:2E:7F:D2:93:A0, 3A:1A:52:4A:3F:A7, A0:36:BC:0E:7A:B8, A8:5E:45:9A:73:80, 40:86:CB:DF:DB:C8, A8:5E:45:9A:82:60, BE:0F:F3:F6:CA:3E, 38:06:E6:2B:01:68, D8:EC:E5:C9:A9:E3, 10:62:EB:C4:48:23","-48, -52, -55, -55, -56, -62, -62, -65, -68, -69, -70, -70, -70, -71, -71, -77, -77, -78, -78, -78, -81, -83, -83, -84, -86, -86, -89, -91, -92"
2025-05-26 10:32:57,"x=-2.48, y=1.22, z=0.0","jerryma, LAB334, BMELabIII, ASUS_A8_2G, AIUVL, BMELab, DIRECT-34-HP M283 LaserJet, NYCU, NYCU-Guest, eduroam, NYCU-Seminar, DIRECT-79-HP M227f LaserJet, LAB337_EX(2.4G), D-Link_DIR-612, WYTN_RD-Meeting, Lab542, DIRECT-524ABFA7, DIRECT-3E-HP Color LJ 4303, APL_ASUS, NYCU, NYCU-Guest, eduroam, NYCU-Seminar, NCTU-VIP, PM2.5_Setup_E4, NCTU-Wireless, NCTU, TANetRoaming","F2:1A:15:DC:E4:ED, 10:27:F5:E0:85:37, 14:DA:E9:80:B0:34, F0:2F:74:E2:C4:A8, 10:7C:61:DA:BF:A6, AC:9E:17:79:CE:50, AA:3B:76:CB:18:34, F4:2E:7F:D3:10:82, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:80, F4:2E:7F:D3:10:84, 4E:EB:BD:6F:EC:79, 34:97:F6:A6:80:40, 48:EE:0C:A9:21:B0, A8:5E:45:9A:73:80, A0:36:BC:0E:7A:B8, 3A:1A:52:4A:3F:A7, BE:0F:F3:F6:CA:3E, 10:C3:7B:C5:F8:00, F4:2E:7F:D2:93:A2, F4:2E:7F:D2:93:A3, F4:2E:7F:D2:93:A0, F4:2E:7F:D2:93:A4, 10:62:EB:A5:9E:67, 74:DA:38:C7:D3:E5, 10:62:EB:A5:9E:60, 10:62:EB:A5:9E:61, 10:62:EB:A5:9E:64","-51, -55, -56, -58, -59, -59, -65, -69, -69, -70, -70, -72, -73, -74, -76, -77, -78, -78, -79, -84, -84, -85, -87, -89, -90, -91, -91, -93"
2025-05-26 10:33:00,"x=-2.72, y=1.13, z=0.0","LAB334, BMELabIII, BMELab, AIUVL, jerryma, ASUS_A8_2G, D-Link_DIR-612, DIRECT-34-HP M283 LaserJet, LAB337_EX(2.4G), DIRECT-79-HP M227f LaserJet, APL_ASUS, DIRECT-524ABFA7, WYTN_RD-Meeting, eduroam, NYCU, NYCU-Seminar, NYCU-Guest, DIRECT-3E-HP Color LJ 4303, LAB335-1, NYCU-Guest, NYCU, PM2.5_Setup_E4, TANetRoaming, ARA_Public, .1.Free Wi-Fi, eduroam, CHT Wi-Fi(HiNet), .1.Free Wi-Fi","10:27:F5:E0:85:37, 14:DA:E9:80:B0:34, AC:9E:17:79:CE:50, 10:7C:61:DA:BF:A6, F2:1A:15:DC:E4:ED, F0:2F:74:E2:C4:A8, 48:EE:0C:A9:21:B0, AA:3B:76:CB:18:34, 34:97:F6:A6:80:40, 4E:EB:BD:6F:EC:79, 10:C3:7B:C5:F8:00, 3A:1A:52:4A:3F:A7, A8:5E:45:9A:73:80, F4:2E:7F:D3:10:80, F4:2E:7F:D3:10:82, F4:2E:7F:D3:10:84, F4:2E:7F:D3:10:83, BE:0F:F3:F6:CA:3E, 40:86:CB:DF:DB:C8, F4:2E:7F:D2:93:A3, F4:2E:7F:D2:93:A2, 74:DA:38:C7:D3:E5, 10:62:EB:A5:9E:64, DA:E3:E5:C9:A9:E7, 10:62:EB:C4:48:23, F4:2E:7F:D2:93:A0, 1C:5F:2B:25:10:01, 1C:5F:2B:25:10:03","-53, -59, -59, -61, -63, -63, -67, -68, -70, -73, -74, -75, -76, -77, -77, -78, -79, -82, -83, -84, -85, -85, -88, -89, -89, -91, -92, -93"
2025-05-26 10:33:08,"x=-3.21, y=0.93, z=0.0","LAB334, BMELabIII, ASUS_A8_2G, DIRECT-34-HP M283 LaserJet, AIUVL, jerryma, BMELab, eduroam, NYCU, NYCU-Guest, NYCU-Seminar, DIRECT-79-HP M227f LaserJet, DIRECT-524ABFA7, D-Link_DIR-612, APL_ASUS, NYCU-Guest, DIRECT-3E-HP Color LJ 4303, NYCU, eduroam, .1.Free Wi-Fi, PM2.5_Setup_E4, WYTN_RD-Meeting, arai, WYTN_RD-LAB","10:27:F5:E0:85:37, 14:DA:E9:80:B0:34, F0:2F:74:E2:C4:A8, AA:3B:76:CB:18:34, 10:7C:61:DA:BF:A6, F2:1A:15:DC:E4:ED, AC:9E:17:79:CE:50, F4:2E:7F:D3:10:80, F4:2E:7F:D3:10:82, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:84, 4E:EB:BD:6F:EC:79, 3A:1A:52:4A:3F:A7, 48:EE:0C:A9:21:B0, 10:C3:7B:C5:F8:00, F4:2E:7F:D2:93:A3, BE:0F:F3:F6:CA:3E, F4:2E:7F:D2:93:A2, F4:2E:7F:D2:93:A0, 1C:5F:2B:25:10:03, 74:DA:38:C7:D3:E5, A8:5E:45:9A:73:80, D8:EC:E5:C9:A9:E3, A8:5E:45:9A:82:60","-49, -51, -51, -54, -55, -58, -60, -65, -65, -65, -65, -70, -72, -75, -76, -81, -83, -84, -84, -86, -86, -87, -88, -90"
2025-05-26 10:33:12,"x=-3.45, y=0.81, z=0.0","LAB334, DIRECT-34-HP M283 LaserJet, BMELabIII, ASUS_A8_2G, jerryma, AIUVL, NYCU-Seminar, NYCU, eduroam, NYCU-Guest, LAB337_EX(2.4G), BMELab, D-Link_DIR-612, DIRECT-524ABFA7, DIRECT-79-HP M227f LaserJet, Lab542, DIRECT-3E-HP Color LJ 4303, LAB540, WYTN_RD-Meeting, arai, CHT Wi-Fi(HiNet), PM2.5_Setup_E4","10:27:F5:E0:85:37, AA:3B:76:CB:18:34, 14:DA:E9:80:B0:34, F0:2F:74:E2:C4:A8, F2:1A:15:DC:E4:ED, 10:7C:61:DA:BF:A6, F4:2E:7F:D3:10:84, F4:2E:7F:D3:10:82, F4:2E:7F:D3:10:80, F4:2E:7F:D3:10:83, 34:97:F6:A6:80:40, AC:9E:17:79:CE:50, 48:EE:0C:A9:21:B0, 3A:1A:52:4A:3F:A7, 4E:EB:BD:6F:EC:79, A0:36:BC:0E:7A:B8, BE:0F:F3:F6:CA:3E, 10:7C:61:E6:63:74, A8:5E:45:9A:73:80, D8:EC:E5:C9:A9:E3, 1C:5F:2B:25:10:01, 74:DA:38:C7:D3:E5","-51, -54, -54, -55, -61, -61, -66, -67, -67, -67, -68, -68, -71, -71, -72, -75, -76, -81, -84, -87, -91, -91"
2025-05-26 10:33:16,"x=-3.68, y=0.7, z=0.0","jerryma, BMELabIII, ASUS_A8_2G, DIRECT-34-HP M283 LaserJet, LAB334, AIUVL, DIRECT-79-HP M227f LaserJet, APL_ASUS, DIRECT-524ABFA7, LAB337_EX(2.4G), D-Link_DIR-612, eduroam, NYCU, NYCU-Guest, NYCU-Seminar, LAB335-1, LAB540, Lab542, NYCU-Guest, NYCU, WYTN_RD-Meeting, 312, .1.Free Wi-Fi, BMELab, DIRECT-3E-HP Color LJ 4303, PM2.5_Setup_E4, TANetRoaming","F2:1A:15:DC:E4:ED, 14:DA:E9:80:B0:34, F0:2F:74:E2:C4:A8, AA:3B:76:CB:18:34, 10:27:F5:E0:85:37, 10:7C:61:DA:BF:A6, 4E:EB:BD:6F:EC:79, 10:C3:7B:C5:F8:00, 3A:1A:52:4A:3F:A7, 34:97:F6:A6:80:40, 48:EE:0C:A9:21:B0, F4:2E:7F:D3:10:80, F4:2E:7F:D3:10:82, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:84, 40:86:CB:DF:DB:C8, 10:7C:61:E6:63:74, A0:36:BC:0E:7A:B8, F4:2E:7F:D2:93:A3, F4:2E:7F:D2:93:A2, A8:5E:45:9A:73:80, 08:BF:B8:7A:DD:08, 1C:5F:2B:25:10:03, AC:9E:17:79:CE:50, BE:0F:F3:F6:CA:3E, 74:DA:38:C7:D3:E5, 10:62:EB:A5:9E:64","-51, -53, -54, -57, -60, -62, -69, -70, -70, -70, -72, -73, -73, -73, -74, -76, -77, -82, -83, -84, -84, -88, -88, -88, -88, -88, -93"
2025-05-26 10:33:20,"x=-3.94, y=0.49, z=0.0","BMELabIII, jerryma, AIUVL, LAB334, DIRECT-34-HP M283 LaserJet, APL_ASUS, BMELab, DIRECT-79-HP M227f LaserJet, DIRECT-524ABFA7, eduroam, NYCU-Guest, NYCU-Seminar, NYCU, LAB337_EX(2.4G), D-Link_DIR-612, LAB540, NYCU-Seminar, NYCU, NYCU-Guest, eduroam, WYTN_RD-Meeting, DIRECT-3E-HP Color LJ 4303, arai2, PM2.5_Setup_E4, LAB335-1, ARA_Public","14:DA:E9:80:B0:34, F2:1A:15:DC:E4:ED, 10:7C:61:DA:BF:A6, 10:27:F5:E0:85:37, AA:3B:76:CB:18:34, 10:C3:7B:C5:F8:00, AC:9E:17:79:CE:50, 4E:EB:BD:6F:EC:79, 3A:1A:52:4A:3F:A7, F4:2E:7F:D3:10:80, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:84, F4:2E:7F:D3:10:82, 34:97:F6:A6:80:40, 48:EE:0C:A9:21:B0, 10:7C:61:E6:63:74, F4:2E:7F:D2:93:A4, F4:2E:7F:D2:93:A2, F4:2E:7F:D2:93:A3, F4:2E:7F:D2:93:A0, A8:5E:45:9A:73:80, BE:0F:F3:F6:CA:3E, DA:E3:E5:C9:A9:E4, 74:DA:38:C7:D3:E5, 40:86:CB:DF:DB:C8, DA:E3:E5:C9:A9:E7","-48, -54, -56, -61, -61, -67, -68, -70, -71, -74, -74, -74, -75, -75, -76, -80, -83, -84, -84, -85, -85, -86, -89, -89, -90, -91"
2025-05-26 10:33:31,"x=-4.02, y=-0.28, z=0.0","BMELabIII, ASUS_A8_2G, LAB334, BMELab, NYCU-Guest, NYCU-Seminar, DIRECT-34-HP M283 LaserJet, AIUVL, NYCU, eduroam, jerryma, LAB337_EX(2.4G), DIRECT-79-HP M227f LaserJet, DIRECT-524ABFA7, D-Link_DIR-612, APL_ASUS, DIRECT-3E-HP Color LJ 4303, NYCU-Guest, eduroam, NYCU, PM2.5_Setup_E4, WYTN_RD-Meeting, WYTN_RD-LAB, .1.Free Wi-Fi","14:DA:E9:80:B0:34, F0:2F:74:E2:C4:A8, 10:27:F5:E0:85:37, AC:9E:17:79:CE:50, F4:2E:7F:D3:10:83, F4:2E:7F:D3:10:84, AA:3B:76:CB:18:34, 10:7C:61:DA:BF:A6, F4:2E:7F:D3:10:82, F4:2E:7F:D3:10:80, F2:1A:15:DC:E4:ED, 34:97:F6:A6:80:40, 4E:EB:BD:6F:EC:79, 3A:1A:52:4A:3F:A7, 48:EE:0C:A9:21:B0, 10:C3:7B:C5:F8:00, BE:0F:F3:F6:CA:3E, F4:2E:7F:D2:93:A3, F4:2E:7F:D2:93:A0, F4:2E:7F:D2:93:A2, 74:DA:38:C7:D3:E5, A8:5E:45:9A:73:80, A8:5E:45:9A:82:60, 1C:5F:2B:25:10:03","-52, -57, -62, -62, -63, -63, -63, -63, -64, -64, -66, -71, -73, -73, -77, -77, -81, -85, -86, -87, -87, -90, -91, -92"
